Name,Total Cores,Rmax,Rpeak
ITO - Subsystem A,72000,4540.69,6912.00
J1,48000,2014.46,3840.00
JCSystem,110080,1807.00,3698.69
JD I1,52320,2074.04,4018.18
Jean,55296,2917.56,4069.79
Jean Zay,93960,4478.00,7345.56
Jean Zay,61120,3054.35,4867.20
JFRS-1,54560,2787.14,4190.21
JGV100System,41760,1825.00,3353.18
JJJ1,78720,2933.42,6297.60
JOLIOT-CURIE ROME,197120,6988.04,12039.37
JOLIOT-CURIE SKL,79488,4065.55,6635.52
Joule 2.0,86400,3608.62,5750.78
JURECA Data Centric Module,105840,9330.00,14508.00
JUWELS Booster Module,449280,44120.00,70980.00
JUWELS Module 1,114480,6177.73,9891.07
K1,47200,1983.15,3776.00
"Karolina, CPU partition",92160,2837.40,3833.86
"Karolina, GPU partition",71424,6752.00,9080.18
Kay,46848,2475.67,3448.01
KKK1,77760,2910.09,6220.80
Koehr,34560,2001.99,2985.98
Komondor,24800,2662.50,3152.84
Lassen,288288,18200.00,23047.20
Levante,308096,6998.79,10276.00
Lichtenberg II (Phase 1),59136,3148.38,4352.41
Lise,121920,6048.26,8930.92
LLL1,76800,2882.76,6144.00
LLNL CTS-1 Quartz,95472,2632.51,3207.86
LLNL Ruby,85568,3700.15,6023.99
LLNL/NNSA CTS-1 Jade,95472,2632.51,3207.86
LLNL/NNSA CTS-1 MAGMA,62400,3241.24,4592.64
Lomonosov 2,64384,2478.00,4946.79
Longhorn,37440,2288.00,2867.41
LUMI,1110144,151900.00,214351.87
LUMI-C,194560,6299.79,7626.75
Lyapunov,130944,12810.00,20029.19
MagicCube3,40960,2109.00,3434.09
MAHTI,169728,5388.52,7060.68
Makman-2,76032,2249.68,3041.28
Makman-3,53300,2322.46,3581.76
Marconi-100,347776,21640.00,29354.00
MareNostrum,153216,6470.80,10296.12
Maru,306432,18002.80,25495.14
MeluXina - Accelerator Module,99200,10520.00,15288.00
MeluXina - Cluster Module,73344,2286.56,3003.18
Mihir,83592,2570.40,2808.69
Mistral,99072,3010.68,3962.88
MMM1,75840,2857.04,6067.20
MN-3,1664,2179.60,3347.58
Mogon II,49432,1967.81,2800.87
Molecular Simulator,38552,1785.62,3072.77
MTS GROM,19840,2258.00,3011.84
Mustang,55296,3221.40,4777.57
NA-J2,1151360,1952.46,2931.81
Narval (GPU),76320,5886.00,12165.35
Narwhal,276480,8023.60,11501.57
Niagara,80640,3599.66,6253.06
NNN1,74880,2834.05,5990.40
Noctua 2,135168,4190.90,5298.59
Numerical Materials Simulator,53568,3082.12,4971.11
Nurion,570020,13929.30,25705.90
NVIDIA Cambridge-1 DGX SuperPOD,79360,9682.00,12047.00
NVIDIA DGX SuperPOD,19840,2356.00,2812.80
O1,30960,1668.16,2674.94
Oakbridge-CX,76608,4289.85,6618.93
occigen2,85824,2494.65,3570.28
Ohtaka,215040,3486.10,6881.28
ONYX,211816,6316.03,7455.92
OOO1,73920,2804.41,5913.60
Orion,70560,3665.72,5419.01
P1,31680,1703.51,2737.15
PAI-ASystem,48128,2435.00,4004.25
PAI-BSystem,50816,2547.00,4229.85
Pangea,220800,5283.11,6712.32
PANGEA III,291024,17860.00,25025.81
PARAM Siddhi-AI,41664,4619.00,5267.14
Perlmutter,761856,70870.00,93750.00
Phoenix,31104,1840.89,2687.39
Phoenix - 2022,20160,2074.00,3341.18
Pioneer-EUS,157440,16590.00,24557.23
Pioneer-SCUS,157440,16590.00,24557.23
Pioneer-WEU,157440,16590.00,24557.23
Pioneer-WUS2,157440,16590.00,24557.23
Piz Daint,387872,21230.00,27154.30
Piz Daint Multicore,65268,1896.75,2193.01
Plasma Simulator,34560,7892.70,10510.66
Pleiades,241108,5951.55,7107.15
POD3,34800,1756.75,2672.64
Polaris,256592,25810.00,34163.19
Pratyush,119232,3763.94,4006.20
Prometheus,55728,1670.09,2348.64
Puhti,40000,1706.73,2688.00
PupMaya,169920,7483.73,12902.40
Q1,32400,1735.66,2799.36
QURIOSITY,35280,1750.18,2709.50
R1,33120,1768.59,2861.57
Rattler,26880,2531.00,3940.61
Raven,114624,5415.98,8803.12
Raven-GPU,96768,8620.00,16031.54
Robert,148320,7764.57,10916.35
Rockfish,32352,1886.65,3105.79
Roxy,174720,8124.48,13977.60
rzVernal,35872,4096.00,6926.34
S1,33840,1804.00,2923.78
Santos Dumont (SDumont),33856,1849.00,2727.03
Sawtooth,99792,5780.62,9220.61
scafellpike,80640,1829.86,4329.73
Selene,555520,63460.00,79215.00
Setonix,65536,2122.03,2569.01
Shaheen II,196608,5536.99,7235.17
Sierra,1572480,94640.00,125712.00
Snellius Phase 1 CPU,73728,2127.80,3067.08
Snellius Phase 1 GPU,6480,1818.00,3007.07
SNL/NNSA CTS-1 Attaway,52920,2724.52,3894.91
SNL/NNSA CTS-1 Manzano,71424,4281.00,6628.15
Software Company (M) A1,57600,1649.11,2119.68
Software Company (M) A10,57600,1649.11,2119.68
Software Company (M) A11,57600,1649.11,2119.68
Software Company (M) A13,57600,1649.11,2119.68
Software Company (M) A14,57600,1649.11,2119.68
Software Company (M) A15,57600,1649.11,2119.68
Software Company (M) A16,57600,1649.11,2119.68
Software Company (M) A2,57600,1649.11,2119.68
Software Company (M) A3,57600,1649.11,2119.68
Software Company (M) A4,57600,1649.11,2119.68
Software Company (M) A6,57600,1649.11,2119.68
Software Company (M) A7,57600,1649.11,2119.68
Software Company (M) A8,57600,1649.11,2119.68
Software Company (M) A9,57600,1649.11,2119.68
Software Company (M) AA1,57600,1649.11,2119.68
Software Company (M) CA1,57600,1649.11,2119.68
Software Company (M) CA2,57600,1649.11,2119.68
Software Company (M) CA3,57600,1649.11,2119.68
Spartan2,23040,2566.00,3847.22
Spartan3,92160,2751.00,3612.67
SQUID - CPU Nodes,115520,6105.10,8871.94
SSC-21,204160,25177.00,31751.10
SSC-21 Scalable Module,16704,2274.10,2597.82
Stampede2,367024,10680.70,18309.22
Summit,2414592,148600.00,200794.88
Sunway TaihuLight,10649600,93014.59,125435.90
Supercomputer Fugaku,7630848,442010.00,537212.00
SuperMUC Phase 2,86016,2813.62,3578.27
SuperMUC-NG,305856,19476.60,26873.86
SwiftLucy,57600,1703.28,2304.00
szaisystem,30600,1814.00,2674.10
Taiwania 2,170352,9000.00,15208.23
Taiwania 3,50400,2297.56,4354.56
TaiYi,32400,1686.54,2488.32
Taranis,294912,8191.03,10321.92
Tenaya,22656,2861.00,4374.53
Tera-1000-1,70272,1871.00,2586.01
Tera-1000-2,561408,11965.50,23396.35
Tethys,19840,2255.00,2680.00
Tetralith,64512,2969.19,4335.21
Theta,280320,6920.90,11661.31
Thunder,152692,3126.24,5610.48
Tianhe-1A,186368,2566.00,4701.00
Tianhe-2 LvLiang Solution,174720,2071.39,3074.53
Tianhe-2A,4981760,61444.50,100678.66
Tioga,30208,3666.00,5832.70
Titan,56544,6291.00,7188.48
TOKI-SORA,276480,16592.00,19464.20
Topaz,124200,3318.95,4570.56
Topaze-cpu,110592,3261.02,4335.21
Topaze-gpu,26880,2741.00,3744.00
Toubkal,71232,3158.11,5014.73
Trinity,979072,20158.70,41461.15
Tryton Plus,30432,1728.34,2824.09
TSUBAME3.0,135828,8125.00,12127.07
TTSystem,116600,1997.00,4104.32
TX-GAIA (Green AI Accelerator),88400,5161.00,6981.48
TX-Green2,43200,2015.00,53084.16
Underhill,148320,7764.57,10916.35
Unizah-II,85560,3487.91,6844.80
VEGA HPC CPU,122880,3822.00,5367.00
VEGA HPC GPU,33600,3096.00,4680.00
Voyager-EUS2,253440,30050.00,39531.15
VSC-4,37920,2726.08,3761.66
VSC-5,95232,2312.30,3047.42
Warhawk,129920,4033.50,5404.67
Wilkes-3,26880,2287.00,6641.41
Wisteria/BDEC-01 (Aquarius),42120,4425.00,7268.83
Wisteria/BDEC-01 (Odyssey),368640,22121.00,25952.26
ZZ1,153600,2354.91,10321.92
ZZ2,67200,2749.28,5376.00
ZZ3,66400,2721.33,5312.00
ZZ4,65600,2691.69,5248.00
ZZ5,64800,2661.46,5184.00
ZZ6,69120,2654.04,5529.60
,72384,9459.00,9669.30
,241920,7038.93,8128.51
,100096,6162.00,8439.62
,135792,5730.50,9125.22
,135792,5730.50,9125.22
,70416,4128.00,5783.81
,126468,3944.68,4249.33
,126468,3944.68,4249.33
,18688,3870.10,5605.63
,65208,3712.00,5365.09
,59392,3656.78,4941.41
,72800,3577.00,6131.84
,72800,3577.00,6131.84
,60512,3307.00,4896.51
,14336,3250.40,4282.08
,71680,3151.69,6193.15
,225984,3143.52,4881.25
,76000,3088.64,6080.00
,73600,2994.04,5888.00
,72000,2931.84,5760.00
,49056,2889.41,4709.38
,93600,2873.41,6289.92
,94160,2867.64,6327.55
,89856,2801.78,3019.16
,89856,2801.78,3019.16
,68000,2779.84,5440.00
,72960,2774.23,5836.80
,66400,2746.30,5312.00
,59976,2744.84,5354.88
,72000,2742.91,5760.00
,71040,2710.88,5683.20
,70080,2677.05,5606.40
,128000,2651.95,4710.40
,64000,2621.44,5120.00
,50400,2610.00,4354.56
,68160,2609.16,5452.80
,62400,2590.84,4992.00
,64320,2583.09,5145.60
,83200,2581.02,5591.04
,67200,2574.02,5376.00
,61440,2487.09,4915.20
,50400,2480.00,4680.00
,50400,2480.00,4680.00
,115200,2429.15,4239.36
,113600,2399.59,4180.48
,58560,2379.87,4684.80
,112000,2374.04,4121.60
,48160,2336.00,4368.00
,48160,2336.00,4368.00
,53760,2329.00,4480.00
,53760,2329.00,4480.00
,53760,2329.00,4480.00
,49920,2316.00,4412.10
,108800,2314.21,4003.84
,55104,2287.00,4890.00
,47320,2282.00,4368.00
,47320,2282.00,4368.00
,47320,2282.00,4368.00
,47320,2282.00,4368.00
,40560,2276.00,3923.71
,40800,2275.00,3905.28
,57600,2241.88,4608.00
,67200,2192.00,4515.84
,50400,2189.00,4816.00
,49280,2166.79,4257.79
,49280,2166.79,4257.79
,49800,2164.00,4423.68
,49800,2164.00,4423.68
,49800,2164.00,4423.68
,128000,2155.99,4300.80
,121920,2152.00,8973.31
,96640,2129.54,7112.70
,44200,2121.00,4056.00
,44720,2121.00,4056.00
,44720,2121.00,4056.00
,44720,2121.00,4056.00
,44720,2115.00,3903.43
,53760,2109.00,4652.03
,44032,2087.00,3843.38
,48160,2078.00,4225.20
,48160,2078.00,4225.20
,48160,2078.00,4225.20
,59760,2075.00,5245.78
,44160,2059.88,3862.25
,49200,2045.93,3936.00
,53040,2028.00,4648.18
,53040,2028.00,4648.18
,48000,2027.52,3840.00
,55440,2026.00,4080.38
,48880,2016.00,44982.27
,41280,2011.00,3744.00
,40800,2011.00,3744.00
,110880,2007.00,8160.77
,42312,2003.00,3693.54
,520000,1985.00,39936.00
,89600,1975.07,6594.56
,45152,1975.00,4010.48
,45152,1975.00,4010.48
,45152,1975.00,4010.48
,44800,1969.81,3870.72
,41280,1963.00,3603.46
,47600,1955.00,3960.32
,53280,1952.00,3921.41
,58112,1934.00,3905.13
,51504,1928.00,4618.00
,40320,1921.00,3520.51
,57200,1914.59,3660.80
,49680,1914.38,4292.35
,86400,1905.48,3179.52
,46200,1901.00,3843.84
,56800,1896.00,3816.96
,173680,1872.00,15162.37
,40320,1872.00,3520.51
,28240,1870.73,2801.41
,44000,1861.37,3520.00
,46480,1854.00,4080.05
,37440,1853.00,3432.00
,83200,1835.52,6123.52
,48000,1833.00,3686.40
,116200,1832.00,7436.80
,43200,1831.49,3456.00
,66080,1828.02,4981.76
,44100,1824.00,3669.12
,48880,1820.00,4140.03
,48880,1820.00,4140.03
,54240,1815.00,3644.93
,80000,1765.81,5888.00
,99360,1765.00,7312.90
,2312800,1741.02,81410.56
,38400,1729.00,3072.00
,38400,1729.00,3072.00
,38400,1729.00,3072.00
,38400,1724.45,3440.64
,35200,1715.81,2816.00
,39680,1714.00,3149.60
,35200,1684.19,2703.36
,28800,1683.37,2695.68
,41760,1667.72,3207.17
,100800,1661.00,2472.96
,78400,1652.49,2759.68
,57600,1649.11,2119.68
